orgid,gender,age,cont,neg,jsat,neur,notrain,nofeed
1,1,27.0,3.6666666666666665,1.6363636363636365,4.0,2.3333333333333335,3.3333333333333335,4.333333333333333
1,0,25.0,2.0,2.3636363636363638,3.3333333333333335,3.3333333333333335,2.0,4.0
1,0,40.0,3.6666666666666665,2.4545454545454546,3.0,4.666666666666667,4.0,4.333333333333333
1,1,40.0,3.0,2.090909090909091,4.333333333333333,2.6666666666666665,3.0,3.0
1,0,32.0,4.0,1.9090909090909092,5.0,3.0,2.6666666666666665,2.0
1,0,32.0,3.6666666666666665,2.909090909090909,5.0,4.0,1.0,2.530038275551425
1,1,51.0,3.6666666666666665,2.090909090909091,4.0,3.3333333333333335,1.0,2.0
1,0,28.0,4.666666666666667,1.3636363636363635,5.0,2.0,3.6666666666666665,1.0
1,0,43.0,2.875209084144302,2.1818181818181817,3.0,2.7891778728467718,1.0,2.3333333333333335
1,0,37.0,3.6666666666666665,1.0909090909090908,4.666666666666667,1.0,1.0,1.0
1,0,31.0,3.0,3.0,5.0,5.666666666666667,3.0,4.8633716088847585
1,1,47.0,4.0,2.1818181818181817,3.0,1.0,1.6666666666666667,1.3333333333333333
1,0,28.0,3.0,1.9090909090909092,1.0,4.0,2.0,6.333333333333333
1,0,26.0,2.0,2.1818181818181817,2.0,4.666666666666667,3.0,2.0
1,1,36.0,3.0,2.090909090909091,4.333333333333333,2.0,2.3333333333333335,3.0
1,0,51.0,3.4719246815853544,1.4545454545454546,5.0,1.0,1.0,1.0
1,0,38.0,4.0,3.1818181818181817,4.333333333333333,3.6666666666666665,1.0,1.0
1,0,40.0,1.0,2.6363636363636362,2.6666666666666665,6.0,4.0,6.0
1,0,22.0,2.3333333333333335,1.8181818181818181,3.6666666666666665,2.6666666666666665,2.3333333333333335,2.3333333333333335
1,1,41.0,5.0,1.8181818181818181,4.666666666666667,1.0,2.0,1.0
1,0,27.0,3.3333333333333335,1.9090909090909092,4.0,2.0,1.0,1.0
1,1,40.0,2.0,2.3636363636363638,2.0,2.3333333333333335,3.0,4.666666666666667
1,0,26.0,1.0,2.0,1.0,1.0,1.0,2.0
1,1,36.0,4.0,1.6363636363636365,3.0,1.0,3.0,4.0
1,0,28.0,3.0,1.3636363636363635,4.0,3.0,4.0,2.3333333333333335
1,1,27.0,2.0,2.3636363636363638,2.6666666666666665,4.333333333333333,4.0,3.3333333333333335
1,0,27.0,3.5357942655238177,2.0,5.0,1.3333333333333333,2.0,2.0
1,0,25.0,3.0,3.3636363636363638,4.0,4.333333333333333,4.0,4.0
1,0,37.0,2.0,2.556908100691872,3.8678175666475334,5.666666666666667,4.666666666666667,3.0
1,1,37.0,1.0,2.4545454545454546,3.0,3.6666666666666665,5.0,6.333333333333333
1,1,23.0,2.6666666666666665,2.4545454545454546,4.666666666666667,5.666666666666667,3.0,1.0
1,0,27.0,5.0,1.8181818181818181,5.0,1.0,2.0,2.0
1,0,37.0,2.0,1.5454545454545454,1.6666666666666667,2.0,6.666666666666667,5.666666666666667
1,1,23.0,2.0,1.4545454545454546,5.0,4.0,1.0,1.0
1,1,39.0,2.3333333333333335,2.090909090909091,3.0,3.0,2.6666666666666665,2.0
1,0,37.0,4.0,2.3636363636363638,5.0,2.3333333333333335,3.2879655879364122,2.0
1,0,33.0,4.0,2.5454545454545454,4.0,3.6666666666666665,6.0,5.666666666666667
1,0,23.0,2.6666666666666665,2.272727272727273,3.6666666666666665,3.6666666666666665,4.0,1.6666666666666667
1,1,32.0,3.0,2.727272727272727,5.0,3.3333333333333335,1.3333333333333333,4.0
1,1,34.0,2.0,2.5454545454545454,4.333333333333333,1.0,1.0,4.0
1,1,34.0,3.6666666666666665,2.909090909090909,5.0,2.0,2.6666666666666665,1.0
1,0,18.0,2.3333333333333335,4.0,1.0,4.0,6.666666666666667,5.333333333333333
1,0,30.0,1.0,2.272727272727273,1.0,1.0,3.6666666666666665,1.0
1,0,32.0,3.3333333333333335,1.9090909090909092,4.0,5.0,3.3333333333333335,4.0
1,0,37.0,1.0,2.727272727272727,2.3333333333333335,6.0,2.0,6.0
1,0,48.0,4.0,1.7272727272727273,5.0,2.0,2.6666666666666665,1.0
1,0,35.0,2.3333333333333335,2.090909090909091,3.6666666666666665,2.0,1.0,4.0
1,1,44.0,3.0,1.4545454545454546,4.333333333333333,2.0,2.0,2.6666666666666665
1,0,21.0,3.6666666666666665,3.4545454545454546,3.3333333333333335,3.6666666666666665,4.666666666666667,3.3333333333333335
3,1,45.0,2.0,2.272727272727273,1.0,2.6666666666666665,3.0,5.0
3,0,23.0,3.0,3.4545454545454546,1.6666666666666667,5.666666666666667,6.333333333333333,6.0
3,1,34.0,1.5884866446325627,2.5454545454545454,2.0,3.6666666666666665,3.6666666666666665,3.3333333333333335
3,1,32.0,3.6666666666666665,1.6363636363636365,5.0,2.6666666666666665,1.0,1.0
3,1,35.0,1.3333333333333333,2.4545454545454546,2.0,5.666666666666667,7.0,3.3333333333333335
3,1,56.0,1.6666666666666667,1.1818181818181819,5.0,2.3333333333333335,2.0,3.3333333333333335
3,1,58.0,1.3333333333333333,2.3636363636363638,1.0,4.333333333333333,4.333333333333333,4.333333333333333
3,1,30.0,3.0,2.8181818181818183,4.333333333333333,1.0,1.0,2.0
3,1,40.0,1.0,2.3636363636363638,4.0,3.6666666666666665,3.3333333333333335,6.666666666666667
3,1,38.0,2.3333333333333335,1.0,4.333333333333333,2.0,1.0,7.0
3,1,29.0,2.0,1.4545454545454546,5.0,4.333333333333333,4.0,3.0
3,1,55.0,1.6666666666666667,1.0,5.0,3.0,4.0,3.6666666666666665
3,0,36.0,3.0,1.6363636363636365,4.666666666666667,1.0,2.0,1.0
3,0,39.0,2.0,3.1818181818181817,3.0,1.0,5.666666666666667,5.666666666666667
3,0,41.0,4.0,2.8181818181818183,5.0,2.0,4.333333333333333,5.0
3,1,24.0,2.6666666666666665,2.8181818181818183,4.333333333333333,3.6666666666666665,2.6666666666666665,5.0
3,1,32.0,3.0,1.8181818181818181,2.6666666666666665,2.6666666666666665,3.3333333333333335,1.0
3,1,33.0,3.0,1.3636363636363635,4.666666666666667,2.3333333333333335,2.9919927824496058,3.033710884001126
3,0,37.0,3.0,3.8181818181818183,3.0,2.6666666666666665,3.3333333333333335,3.0
3,1,52.5,2.0,2.3636363636363638,5.0,2.6666666666666665,3.0,3.6666666666666665
3,0,37.0,3.0,1.0,5.0,1.3333333333333333,1.0,1.0
3,0,34.0,1.0,4.2727272727272725,5.0,7.0,3.0,7.0
3,1,30.0,2.0,2.4545454545454546,1.0,3.0,4.666666666666667,6.0
3,0,44.0,2.0,1.4545454545454546,4.333333333333333,1.0,1.6666666666666667,1.0
3,1,49.0,3.0,1.7272727272727273,5.0,5.333333333333333,1.3333333333333333,1.0
3,1,55.0,4.0,2.272727272727273,2.0,3.6666666666666665,1.0,5.666666666666667
3,0,18.5,4.0,3.0,3.0,4.0,5.0,4.0
3,0,19.0,1.0,3.8181818181818183,2.0,4.0,1.0,7.0
3,0,37.0,3.6666666666666665,1.6363636363636365,5.0,2.0,3.6666666666666665,4.0
3,0,26.0,3.0,3.090909090909091,3.0,3.3333333333333335,5.0,6.0
3,1,36.0,3.0,2.1818181818181817,4.666666666666667,1.6666666666666667,1.3333333333333333,3.3333333333333335
3,1,29.0,4.333333333333333,1.2727272727272727,5.0,4.333333333333333,1.3333333333333333,3.0
3,0,22.0,2.6666666666666665,4.0,5.0,1.3333333333333333,4.0,6.0
3,0,23.0,3.3333333333333335,2.8181818181818183,3.6666666666666665,2.6666666666666665,3.3333333333333335,3.3333333333333335
3,0,47.0,2.3333333333333335,2.6363636363636362,4.0,2.6666666666666665,5.0,5.666666666666667
3,1,17.0,2.6666666666666665,2.909090909090909,3.0,2.3333333333333335,3.6666666666666665,4.666666666666667
3,0,34.0,3.0,1.3636363636363635,2.3333333333333335,3.0,2.0,5.0
3,1,37.0,2.0,3.0,5.0,3.6666666666666665,6.333333333333333,3.3333333333333335
3,1,44.0,4.0,1.1818181818181819,5.0,1.0,4.0,1.0
3,1,55.0,4.0,2.8181818181818183,4.666666666666667,1.0,1.3333333333333333,1.6666666666666667
3,1,33.0,2.6666666666666665,1.6363636363636365,4.333333333333333,4.333333333333333,3.0,1.0
3,0,34.0,2.6666666666666665,2.0,3.6666666666666665,2.0,1.0,1.6666666666666667
3,1,40.0,3.3333333333333335,2.5454545454545454,3.3333333333333335,1.0,3.0,4.0
3,1,46.0,2.6666666666666665,2.272727272727273,5.0,2.6666666666666665,5.666666666666667,4.0
3,0,37.0,3.0,3.0,4.333333333333333,1.0,3.0,3.6666666666666665
3,0,32.0,1.3333333333333333,2.3636363636363638,5.0,6.0,5.333333333333333,6.333333333333333
3,1,19.0,1.6666666666666667,2.727272727272727,3.6666666666666665,2.3333333333333335,4.666666666666667,4.333333333333333
3,0,36.0,4.0,1.9090909090909092,5.0,5.0,2.0,4.0
3,0,47.0,3.6666666666666665,2.090909090909091,4.666666666666667,3.3333333333333335,2.0,6.0
3,0,33.0,2.6666666666666665,2.909090909090909,3.6666666666666665,1.6666666666666667,6.333333333333333,4.0
3,1,44.0,2.0,1.4545454545454546,3.3333333333333335,3.3333333333333335,5.333333333333333,1.0
3,1,40.0,2.0,1.5454545454545454,3.3333333333333335,1.6666666666666667,1.0,1.0
3,0,22.0,2.0,1.3636363636363635,1.0,7.0,5.666666666666667,5.666666666666667
3,0,18.0,2.0,1.3636363636363635,2.6666666666666665,5.333333333333333,3.3333333333333335,4.0
3,1,36.0,3.0,2.0,2.3333333333333335,1.0,7.0,1.0
3,0,21.0,4.0,3.0,3.6666666666666665,1.6666666666666667,3.6666666666666665,3.3333333333333335
3,0,22.0,3.0,3.0,5.0,2.3333333333333335,4.0,4.0
3,1,37.0,1.0,1.6363636363636365,1.0,5.333333333333333,6.666666666666667,7.0
3,1,31.0,4.0,1.6363636363636365,5.0,1.0,1.6666666666666667,2.0
3,1,37.0,3.0,2.6363636363636362,4.666666666666667,5.333333333333333,4.0,4.0
3,0,18.0,3.6666666666666665,1.3636363636363635,3.6666666666666665,1.0,1.3333333333333333,2.0
3,0,35.0,3.6666666666666665,3.1818181818181817,3.6666666666666665,4.333333333333333,4.0,3.6666666666666665
3,1,50.0,1.6666666666666667,2.0,5.0,2.0,3.0,1.0
3,0,19.0,1.0,1.5454545454545454,4.333333333333333,3.3333333333333335,1.0,3.0
3,1,37.0,2.0,3.3636363636363638,2.6666666666666665,5.0,5.666666666666667,5.0
3,0,24.0,2.0,1.7272727272727273,4.333333333333333,2.0,1.3333333333333333,4.0
3,1,24.0,3.3333333333333335,3.5454545454545454,3.3333333333333335,4.333333333333333,5.0,4.666666666666667
3,1,55.0,5.0,1.4545454545454546,5.0,2.0,1.0,1.0
3,1,42.0,3.6666666666666665,2.909090909090909,3.0,2.3333333333333335,2.0,4.0
3,1,26.0,3.0,2.272727272727273,5.0,3.6666666666666665,4.666666666666667,1.0
3,0,18.0,3.0,3.272727272727273,3.0,4.666666666666667,3.3333333333333335,2.0
3,0,36.0,3.0,3.090909090909091,3.0,4.333333333333333,3.0,4.666666666666667
3,1,29.0,1.6666666666666667,2.8181818181818183,1.6666666666666667,2.6666666666666665,6.666666666666667,5.666666666666667
3,1,55.0,2.6666666666666665,1.3636363636363635,5.0,3.3333333333333335,2.0,3.3333333333333335
3,1,42.0,3.0,2.8181818181818183,5.0,2.0,2.6666666666666665,1.0
3,1,53.0,3.6666666666666665,2.6363636363636362,5.0,2.3333333333333335,2.3333333333333335,2.0
3,1,48.0,4.0,1.3636363636363635,5.0,1.0,1.3333333333333333,1.3333333333333333
3,1,50.0,4.0,2.1818181818181817,5.0,3.0,3.0,2.6666666666666665
3,0,45.0,3.6666666666666665,1.5454545454545454,4.666666666666667,3.6666666666666665,3.0,3.6666666666666665
3,0,37.0,3.0,2.090909090909091,3.3333333333333335,4.666666666666667,2.6666666666666665,6.333333333333333
3,1,52.0,3.0,1.5454545454545454,4.666666666666667,1.3333333333333333,3.3333333333333335,4.333333333333333
3,1,48.0,2.6666666666666665,2.5454545454545454,3.0,6.0,2.0,2.6666666666666665
3,0,32.0,1.6666666666666667,3.4545454545454546,3.0,1.3333333333333333,4.333333333333333,7.0
3,0,19.0,2.0,2.0,3.6666666666666665,2.0,2.3333333333333335,2.3333333333333335
3,0,23.0,2.6666666666666665,2.0,3.0,4.333333333333333,4.0,3.6666666666666665
3,0,34.0,2.6666666666666665,3.0,4.333333333333333,4.666666666666667,6.666666666666667,3.0
3,0,35.0,2.3333333333333335,2.090909090909091,1.6666666666666667,6.0,3.9184223895127377,6.333333333333333
3,0,37.0,4.333333333333333,1.8181818181818181,4.0,3.0,1.0,2.0
3,0,24.0,3.3333333333333335,2.6363636363636362,4.0,2.3333333333333335,6.333333333333333,4.0
3,1,36.0,4.0,1.4545454545454546,4.0,1.0,2.0,1.6666666666666667
