orgid,gender,age,cont1,cont2,cont3,neg1,neg2,neg3,neg4,neg5,neg6,neg7,neg8,neg9,neg10,neg11,jsat1,jsat2,jsat3,Neur1,Neur2,Neur3,notrain1,notrain2,notrain3,nofeed1,nofeed2,nofeed3
Org A,female,27.0,3.490324652486971,3.5651883762035173,3.551869767880966,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
Org A,female,25.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Org A,female,37.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,2.0,3.0,2.2139760927716554,2.6227197897421073,2.2892932250968303,3.7776710652547365,3.9575253762818927,3.8682562584059714,6.0,6.0,5.0,6.0,4.0,4.0,3.0,3.0,3.0
Org A,male,37.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,3.0,3.0,4.0,2.0,1.0,5.0,3.0,4.0,2.0,5.0,7.0,2.0,6.0,6.0,7.0,6.0
Org A,male,23.0,3.0,3.0,2.0,5.0,1.0,3.0,2.0,2.0,2.0,1.0,4.0,3.0,3.0,1.0,5.0,5.0,4.0,6.0,4.0,7.0,5.0,3.0,1.0,1.0,1.0,1.0
Org A,female,27.0,5.0,5.0,5.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
Org A,female,37.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,7.0,6.0,7.0,7.0,5.0,5.0
Org A,male,23.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,5.0,5.0,5.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0
Org A,male,39.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0
Org A,female,37.0,4.0,4.0,4.0,4.0,2.0,4.0,1.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,5.0,5.0,5.0,3.0,2.0,2.0,4.0,2.8103733137641167,3.05352345004512,2.0,2.0,2.0
Org A,female,33.0,4.0,4.0,4.0,2.0,3.0,3.0,2.0,4.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,5.0,4.0,5.0,3.0,3.0,6.0,6.0,6.0,6.0,6.0,5.0
Org A,female,23.0,3.0,2.0,3.0,2.0,2.0,3.0,1.0,3.0,1.0,3.0,3.0,2.0,3.0,2.0,1.0,5.0,5.0,4.0,4.0,3.0,5.0,3.0,4.0,1.0,1.0,3.0
Org A,male,32.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,3.0,2.0,2.0,2.0,4.0,5.0,5.0,5.0,4.0,3.0,3.0,1.0,2.0,1.0,3.0,3.0,6.0
Org A,male,34.0,2.0,2.0,2.0,4.0,4.0,4.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0
Org A,male,34.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,2.0,5.0,5.0,5.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0
Org A,female,18.0,3.0,3.0,1.0,5.0,2.0,2.0,5.0,3.0,5.0,5.0,5.0,4.0,5.0,3.0,1.0,1.0,1.0,4.0,4.0,4.0,7.0,7.0,6.0,6.0,5.0,5.0
Org A,female,30.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,5.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,3.0,1.0,1.0,1.0
Org A,female,32.0,3.0,3.0,4.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,1.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,1.0,5.0,4.0,3.0
Org A,female,37.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,3.0,2.0,4.0,2.0,4.0,4.0,1.0,1.0,5.0,6.0,6.0,6.0,3.0,2.0,1.0,7.0,7.0,4.0
Org A,female,48.0,4.0,4.0,4.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,5.0,5.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0
Org A,female,35.0,3.0,1.0,3.0,4.0,1.0,4.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,4.0,5.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,4.0,4.0
Org A,male,44.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,5.0,5.0,2.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0,3.0
Org A,female,21.0,3.0,4.0,4.0,5.0,4.0,3.0,2.0,5.0,3.0,3.0,1.0,3.0,5.0,4.0,3.0,5.0,2.0,3.0,3.0,5.0,5.0,4.0,5.0,4.0,3.0,3.0
Org C,male,45.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,5.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,7.0,7.0,7.0,1.0
Org C,female,23.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,1.0,3.0,1.0,6.0,6.0,5.0,7.0,6.0,6.0,6.0,6.0,6.0
Org C,male,34.0,1.3506695005158955,1.6157664669522716,1.7990239664295211,4.0,3.0,3.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,4.0,1.0,5.0,5.0,7.0,3.0,1.0,4.0,4.0,2.0
Org C,male,32.0,5.0,1.0,5.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,5.0,5.0,5.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0
