orgid,gender,age,orgidA,orgidB,orgidC,cont,neg,jsat,neur,notrain,nofeed
Org A,1,27.0,1,0,0,3.6666666666666665,1.6363636363636365,4.0,2.3333333333333335,3.3333333333333335,4.333333333333333
Org A,0,25.0,1,0,0,2.0,2.3636363636363638,3.3333333333333335,3.3333333333333335,2.0,4.0
Org A,0,40.0,1,0,0,3.6666666666666665,2.4545454545454546,3.0,4.666666666666667,4.0,4.333333333333333
Org A,1,40.0,1,0,0,3.0,2.090909090909091,4.333333333333333,2.6666666666666665,3.0,3.0
Org A,0,32.0,1,0,0,4.0,1.9090909090909092,5.0,3.0,2.6666666666666665,2.0
Org A,0,32.0,1,0,0,3.6666666666666665,2.909090909090909,5.0,4.0,1.0,2.530038275551425
Org A,1,51.0,1,0,0,3.6666666666666665,2.090909090909091,4.0,3.3333333333333335,1.0,2.0
Org A,0,28.0,1,0,0,4.666666666666667,1.3636363636363635,5.0,2.0,3.6666666666666665,1.0
Org A,0,43.0,1,0,0,2.875209084144302,2.1818181818181817,3.0,2.7891778728467718,1.0,2.3333333333333335
Org A,0,37.0,1,0,0,3.6666666666666665,1.0909090909090908,4.666666666666667,1.0,1.0,1.0
Org A,0,31.0,1,0,0,3.0,3.0,5.0,5.666666666666667,3.0,4.8633716088847585
Org A,1,47.0,1,0,0,4.0,2.1818181818181817,3.0,1.0,1.6666666666666667,1.3333333333333333
Org A,0,28.0,1,0,0,3.0,1.9090909090909092,1.0,4.0,2.0,6.333333333333333
Org A,0,26.0,1,0,0,2.0,2.1818181818181817,2.0,4.666666666666667,3.0,2.0
Org A,1,36.0,1,0,0,3.0,2.090909090909091,4.333333333333333,2.0,2.3333333333333335,3.0
Org A,0,51.0,1,0,0,3.4719246815853544,1.4545454545454546,5.0,1.0,1.0,1.0
Org A,0,38.0,1,0,0,4.0,3.1818181818181817,4.333333333333333,3.6666666666666665,1.0,1.0
Org A,0,40.0,1,0,0,1.0,2.6363636363636362,2.6666666666666665,6.0,4.0,6.0
Org A,0,22.0,1,0,0,2.3333333333333335,1.8181818181818181,3.6666666666666665,2.6666666666666665,2.3333333333333335,2.3333333333333335
Org A,1,41.0,1,0,0,5.0,1.8181818181818181,4.666666666666667,1.0,2.0,1.0
Org A,0,27.0,1,0,0,3.3333333333333335,1.9090909090909092,4.0,2.0,1.0,1.0
Org A,1,40.0,1,0,0,2.0,2.3636363636363638,2.0,2.3333333333333335,3.0,4.666666666666667
Org A,0,26.0,1,0,0,1.0,2.0,1.0,1.0,1.0,2.0
Org A,1,36.0,1,0,0,4.0,1.6363636363636365,3.0,1.0,3.0,4.0
Org A,0,28.0,1,0,0,3.0,1.3636363636363635,4.0,3.0,4.0,2.3333333333333335
Org A,1,27.0,1,0,0,2.0,2.3636363636363638,2.6666666666666665,4.333333333333333,4.0,3.3333333333333335
Org A,0,27.0,1,0,0,3.5357942655238177,2.0,5.0,1.3333333333333333,2.0,2.0
Org A,0,25.0,1,0,0,3.0,3.3636363636363638,4.0,4.333333333333333,4.0,4.0
Org A,0,37.0,1,0,0,2.0,2.556908100691872,3.8678175666475334,5.666666666666667,4.666666666666667,3.0
Org A,1,37.0,1,0,0,1.0,2.4545454545454546,3.0,3.6666666666666665,5.0,6.333333333333333
Org A,1,23.0,1,0,0,2.6666666666666665,2.4545454545454546,4.666666666666667,5.666666666666667,3.0,1.0
Org A,0,27.0,1,0,0,5.0,1.8181818181818181,5.0,1.0,2.0,2.0
Org A,0,37.0,1,0,0,2.0,1.5454545454545454,1.6666666666666667,2.0,6.666666666666667,5.666666666666667
Org A,1,23.0,1,0,0,2.0,1.4545454545454546,5.0,4.0,1.0,1.0
Org A,1,39.0,1,0,0,2.3333333333333335,2.090909090909091,3.0,3.0,2.6666666666666665,2.0
Org A,0,37.0,1,0,0,4.0,2.3636363636363638,5.0,2.3333333333333335,3.2879655879364122,2.0
Org A,0,33.0,1,0,0,4.0,2.5454545454545454,4.0,3.6666666666666665,6.0,5.666666666666667
Org A,0,23.0,1,0,0,2.6666666666666665,2.272727272727273,3.6666666666666665,3.6666666666666665,4.0,1.6666666666666667
Org A,1,32.0,1,0,0,3.0,2.727272727272727,5.0,3.3333333333333335,1.3333333333333333,4.0
Org A,1,34.0,1,0,0,2.0,2.5454545454545454,4.333333333333333,1.0,1.0,4.0
Org A,1,34.0,1,0,0,3.6666666666666665,2.909090909090909,5.0,2.0,2.6666666666666665,1.0
Org A,0,18.0,1,0,0,2.3333333333333335,4.0,1.0,4.0,6.666666666666667,5.333333333333333
Org A,0,30.0,1,0,0,1.0,2.272727272727273,1.0,1.0,3.6666666666666665,1.0
Org A,0,32.0,1,0,0,3.3333333333333335,1.9090909090909092,4.0,5.0,3.3333333333333335,4.0
Org A,0,37.0,1,0,0,1.0,2.727272727272727,2.3333333333333335,6.0,2.0,6.0
Org A,0,48.0,1,0,0,4.0,1.7272727272727273,5.0,2.0,2.6666666666666665,1.0
Org A,0,35.0,1,0,0,2.3333333333333335,2.090909090909091,3.6666666666666665,2.0,1.0,4.0
Org A,1,44.0,1,0,0,3.0,1.4545454545454546,4.333333333333333,2.0,2.0,2.6666666666666665
Org A,0,21.0,1,0,0,3.6666666666666665,3.4545454545454546,3.3333333333333335,3.6666666666666665,4.666666666666667,3.3333333333333335
Org C,1,45.0,0,0,1,2.0,2.272727272727273,1.0,2.6666666666666665,3.0,5.0
Org C,0,23.0,0,0,1,3.0,3.4545454545454546,1.6666666666666667,5.666666666666667,6.333333333333333,6.0
Org C,1,34.0,0,0,1,1.5884866446325627,2.5454545454545454,2.0,3.6666666666666665,3.6666666666666665,3.3333333333333335
Org C,1,32.0,0,0,1,3.6666666666666665,1.6363636363636365,5.0,2.6666666666666665,1.0,1.0
Org C,1,35.0,0,0,1,1.3333333333333333,2.4545454545454546,2.0,5.666666666666667,7.0,3.3333333333333335
Org C,1,56.0,0,0,1,1.6666666666666667,1.1818181818181819,5.0,2.3333333333333335,2.0,3.3333333333333335
Org C,1,58.0,0,0,1,1.3333333333333333,2.3636363636363638,1.0,4.333333333333333,4.333333333333333,4.333333333333333
Org C,1,30.0,0,0,1,3.0,2.8181818181818183,4.333333333333333,1.0,1.0,2.0
Org C,1,40.0,0,0,1,1.0,2.3636363636363638,4.0,3.6666666666666665,3.3333333333333335,6.666666666666667
